date,spy,vix,sp20vol
2008-06-05,140.78,18.63,0.138640524
2008-06-06,136.29,23.56,0.176960818
2008-06-09,136.62,23.12,0.175902263
2008-06-10,135.94,23.18,0.170194741
2008-06-11,133.94,24.12,0.178544012
2008-06-12,134.45,23.33,0.178216705
2008-06-13,136.15,21.22,0.183176223
2008-06-16,136.23,20.95,0.182929491
2008-06-17,135.57,21.13,0.183190448
2008-06-18,134.25,22.24,0.183406804
2008-06-19,134.42,21.58,0.177636966
2008-06-20,131.58,22.87,0.186490373
2008-06-23,131.45,22.64,0.182522283
2008-06-24,131.19,22.42,0.179447877
2008-06-25,131.81,21.14,0.180476849
2008-06-26,128.23,23.93,0.201383915
2008-06-27,127.53,23.44,0.200264212
2008-06-30,127.98,23.95,0.19991942
2008-07-01,128.38,23.65,0.201614273
2008-07-02,126.18,25.92,0.207887328
2008-07-03,126.31,24.79,0.189395187
2008-07-07,125.02,25.78,0.164089845
2008-07-08,127.24,23.15,0.179937595
2008-07-09,124.79,25.23,0.192711033
2008-07-10,125.3,25.59,0.190633746
2008-07-11,123.84,27.49,0.191080699
2008-07-14,122.72,28.48,0.178237027
2008-07-15,120.99,28.54,0.178331111
2008-07-16,123.96,25.1,0.20870253
2008-07-17,125.2,25.01,0.214939512
2008-07-18,125.98,24.05,0.213867857
2008-07-21,126.05,23.05,0.205989607
2008-07-22,127.48,21.18,0.213302594
2008-07-23,128.17,21.31,0.214133149
2008-07-24,125.51,23.44,0.22594947
2008-07-25,125.48,22.91,0.203497106
2008-07-28,123.64,24.23,0.212848374
2008-07-29,126.28,22.03,0.230586221
2008-07-30,128.53,21.21,0.238207626
2008-07-31,126.83,22.94,0.233690441
2008-08-01,126.16,22.57,0.234601331
2008-08-04,124.99,23.49,0.234885516
2008-08-05,128.36,21.14,0.249318389
2008-08-06,128.93,20.23,0.233648942
2008-08-07,127.01,21.15,0.242955888
2008-08-08,129.37,20.66,0.252163232
2008-08-11,130.71,20.12,0.24894627
2008-08-12,129.35,21.17,0.249839296
2008-08-13,128.57,21.55,0.236612969
2008-08-14,129.54,20.34,0.233969884
2008-08-15,130.17,19.58,0.234121334
2008-08-18,128.39,20.98,0.241450047
2008-08-19,126.99,21.28,0.239163855
2008-08-20,127.58,20.42,0.239798888
2008-08-21,127.8,19.82,0.224027612
2008-08-22,129.65,18.81,0.226760247
2008-08-25,127.02,20.97,0.227992563
2008-08-26,127.39,20.49,0.213067824
2008-08-27,128.63,19.76,0.206401692
2008-08-28,130.19,19.43,0.20670698
2008-08-29,128.79,20.65,0.212289264
2008-09-02,127.99,21.99,0.209955722
2008-09-03,127.88,21.43,0.183195887
2008-09-04,124.03,24.03,0.210396336
2008-09-05,124.42,23.06,0.202752375
2008-09-08,126.99,22.64,0.19756221
2008-09-09,123.22,25.47,0.227152304
2008-09-10,123.72,24.52,0.226818943
2008-09-11,125.51,24.39,0.233762193
2008-09-12,126.09,25.66,0.232746611
2008-09-15,120.09,31.7,0.282169952
2008-09-16,122.1,30.3,0.288948436
2008-09-17,116.61,36.22,0.329259298
2008-09-18,120.07,33.1,0.369019582
2008-09-19,124.12,32.07,0.39890506
2008-09-22,121.31,33.85,0.417619172
2008-09-23,118.55,35.72,0.415756174
2008-09-24,118.93,35.19,0.415056969
2008-09-25,120.79,32.82,0.42123379
2008-09-26,120.85,34.74,0.416893949
2008-09-29,111.38,46.72,0.514108516
2008-09-30,115.99,39.39,0.557998989
2008-10-01,116.06,39.81,0.55795606
2008-10-02,111.85,45.26,0.56549048
2008-10-03,110.34,45.14,0.565279628
2008-10-06,104.72,52.05,0.568098964
2008-10-07,100.03,53.68,0.587712281
2008-10-08,97.51,57.53,0.58476684
2008-10-09,90.7,63.92,0.621288032
2008-10-10,88.5,69.95,0.618168021
2008-10-13,101.35,54.99,0.761993426
2008-10-14,99.85,55.13,0.756328459
2008-10-15,90.02,69.25,0.799786514
2008-10-16,93.77,67.61,0.799042214
2008-10-17,93.21,70.33,0.776311807
2008-10-20,98.81,52.97,0.799120039
2008-10-21,95.86,53.11,0.80262238
2008-10-22,90.64,69.65,0.822251484
2008-10-23,91.69,67.8,0.818968535
2008-10-24,87.04,79.13,0.819988061
2008-10-27,83.95,80.06,0.776511482
2008-10-28,93.76,66.96,0.856542197
2008-10-29,93.08,69.96,0.856370123
2008-10-30,96.3,62.9,0.857167589
2008-10-31,96.83,59.89,0.86010128
2008-11-03,97.11,53.68,0.85089718
2008-11-04,100.41,47.73,0.839161424
2008-11-05,96.19,54.56,0.86029917
2008-11-06,90.86,63.68,0.834522784
2008-11-07,93.86,56.1,0.838721261
2008-11-10,92.63,59.98,0.726047765
2008-11-11,89.77,61.44,0.729059866
2008-11-12,85.82,66.46,0.679924831
2008-11-13,91.17,59.83,0.709239317
2008-11-14,86.62,66.31,0.723763433
2008-11-17,85.47,69.15,0.702567585
2008-11-18,87.08,67.64,0.698652357
2008-11-19,81.5,74.26,0.698806391
2008-11-20,75.45,80.86,0.72971207
2008-11-21,79.52,72.67,0.764923238
2008-11-24,85.03,64.7,0.79374074
2008-11-25,85.66,60.9,0.687752453
2008-11-26,88.97,54.92,0.700775561
2008-11-28,90.09,55.28,0.694775582
2008-12-01,82.11,68.51,0.756260429
2008-12-02,85.27,62.98,0.774722718
2008-12-03,87.32,60.72,0.76464167
2008-12-04,85.3,63.64,0.750111874
2008-12-05,87.93,59.93,0.743721256
2008-12-08,91,58.49,0.749470243
2008-12-09,89.5,58.91,0.75271048
2008-12-10,90.11,55.73,0.74952878
2008-12-11,87.94,55.78,0.732005787
2008-12-12,88.99,54.28,0.688552456
2008-12-15,87.75,56.76,0.673258566
2008-12-16,91.88,52.37,0.688666151
2008-12-17,90.99,49.84,0.690103506
2008-12-18,89.29,47.34,0.654082715
2008-12-19,88.19,44.93,0.595600256
2008-12-22,87.06,44.56,0.566702137
2008-12-23,86.16,45.02,0.522358995
2008-12-24,86.66,44.21,0.522261273
2008-12-26,87.16,43.38,0.506852733
2008-12-29,86.91,43.9,0.505586673
2008-12-30,88.97,41.63,0.390243478
2008-12-31,90.24,40,0.369506212
2009-01-02,92.96,39.19,0.374692721
2009-01-05,92.85,39.08,0.355665805
2009-01-06,93.47,38.56,0.335876918
2009-01-07,90.67,43.39,0.329209273
2009-01-08,91.04,42.56,0.317731088
2009-01-09,89.09,42.82,0.324904529
2009-01-12,86.95,45.84,0.318666505
2009-01-13,87.11,43.27,0.317672061
2009-01-14,84.37,49.14,0.336448971
2009-01-15,84.4,51,0.273577638
2009-01-16,85.06,46.11,0.275533904
2009-01-20,80.57,56.65,0.322238664
2009-01-21,84.05,46.42,0.364133371
2009-01-22,82.75,47.29,0.362493383
2009-01-23,83.11,47.27,0.362381876
2009-01-26,83.68,45.69,0.362321277
2009-01-27,84.53,42.25,0.364273961
2009-01-28,87.39,39.66,0.384470415
2009-01-29,84.55,42.63,0.391288871
2009-01-30,82.83,44.84,0.392618222
2009-02-02,82.58,45.52,0.369671119
2009-02-03,83.74,43.06,0.377570155
2009-02-04,83.33,43.85,0.374707294
2009-02-05,84.57,43.73,0.37065005
2009-02-06,86.98,43.37,0.385297414
2009-02-09,87.1,43.64,0.378611441
2009-02-10,83.11,46.67,0.409269776
2009-02-11,83.6,44.53,0.41065699
2009-02-12,83.66,41.25,0.393433815
2009-02-13,82.76,42.93,0.394921367
2009-02-17,79.22,48.66,0.424094341
2009-02-18,79.03,48.46,0.381736739
2009-02-19,78.18,47.08,0.345492688
2009-02-20,77.42,49.3,0.344075117
2009-02-23,74.65,52.62,0.359625393
2009-02-24,77.48,45.49,0.392914031
2009-02-25,76.87,44.67,0.389757451
2009-02-26,75.62,44.66,0.363984833
2009-02-27,73.93,46.35,0.356457808
2009-03-02,70.6,52.65,0.379976802
2009-03-03,70.07,50.93,0.379036874
2009-03-04,71.73,47.56,0.386661089
2009-03-05,68.8,50.17,0.405822164
2009-03-06,68.92,49.33,0.396444625
2009-03-09,68.11,49.68,0.371357717
2009-03-10,72.17,44.37,0.457292496
2009-03-11,72.64,43.61,0.433363132
2009-03-12,75.5,41.18,0.462467224
2009-03-13,76.09,42.36,0.464084967
2009-03-16,75.86,43.74,0.463642043
2009-03-17,78.18,40.8,0.453649696
2009-03-18,79.93,40.06,0.45981075
2009-03-19,78.94,43.68,0.460175604
2009-03-20,76.71,45.89,0.464038265
2009-03-23,82.22,43.23,0.507482138
2009-03-24,80.6,42.93,0.498257354
2009-03-25,81.45,42.25,0.496323477
2009-03-26,83.11,40.36,0.495514842
2009-03-27,81.61,41.04,0.493113926
2009-03-30,78.79,45.54,0.47806127
2009-03-31,79.52,44.14,0.476214572
2009-04-01,81.06,42.28,0.473584806
2009-04-02,83.43,42.04,0.441409791
2009-04-03,84.26,39.7,0.440079157
2009-04-06,83.6,40.93,0.43905343
2009-04-07,81.65,40.39,0.408574791
2009-04-08,82.53,38.85,0.408663651
2009-04-09,85.81,36.53,0.40584038
2009-04-13,85.83,37.81,0.4061218
2009-04-14,84.35,37.67,0.415755705
2009-04-15,85.25,36.17,0.404991222
2009-04-16,86.5,35.79,0.402636627
2009-04-17,87.08,33.94,0.397254974
2009-04-20,83.43,39.18,0.424158439
2009-04-21,85.06,37.14,0.351515999
2009-04-22,84.54,38.1,0.343631941
2009-04-23,85.37,37.15,0.343714996
2009-04-24,86.66,36.82,0.339227595
2009-04-27,85.84,38.32,0.332087202
2009-04-28,85.57,37.95,0.302200087
2009-04-29,87.39,36.08,0.306948133
2009-04-30,87.42,36.5,0.304276639
2009-05-01,87.89,35.3,0.289907681
2009-05-04,90.88,34.53,0.309676977
2009-05-05,90.57,33.36,0.307713351
2009-05-06,92.14,32.45,0.292443837
2009-05-07,90.86,33.44,0.299458504
2009-05-08,92.98,32.05,0.282581804
2009-05-11,91.24,32.87,0.297019733
2009-05-12,90.97,31.8,0.284813814
2009-05-13,88.68,33.65,0.302918788
2009-05-14,89.44,31.37,0.300395463
2009-05-15,88.71,33.12,0.303677067
2009-05-18,91.23,30.24,0.273536678
2009-05-19,91.12,28.8,0.267060911
2009-05-20,90.51,29.03,0.265802519
2009-05-21,89.21,31.35,0.27408746
2009-05-22,89.02,32.63,0.268839033
2009-05-26,91.3,30.62,0.279203204
2009-05-27,89.67,32.36,0.289491283
2009-05-28,90.92,31.67,0.284818336
2009-05-29,92.53,28.92,0.287464866
2009-06-01,94.77,30.04,0.298876393
2009-06-02,94.85,29.63,0.276905067
2009-06-03,93.65,31.02,0.281951565
2009-06-04,94.53,30.18,0.278330471
2009-06-05,94.55,29.62,0.273447455
2009-06-08,94.16,29.77,0.260688626
2009-06-09,94.64,28.27,0.247247885
2009-06-10,94.4,28.46,0.247794248
2009-06-11,94.82,28.11,0.223649818
2009-06-12,95.08,28.15,0.222230719
2009-06-15,92.9,30.81,0.23670766
2009-06-16,91.64,32.68,0.217725221
2009-06-17,91.55,31.54,0.217686667
2009-06-18,92.22,30.03,0.218567926
2009-06-19,92.04,27.99,0.208411852
2009-06-22,89.28,31.17,0.238183971
2009-06-23,89.35,30.58,0.218011631
2009-06-24,90.12,29.05,0.20832313
2009-06-25,92.08,26.36,0.215027961
2009-06-26,91.84,25.93,0.209762293
2009-06-29,92.7,25.35,0.18998603
